choose,"The name was chosen since it meant nothing and was economical , and Skinny Dan ( a.k.a .",3,0
choose,"Standup comedy , coming into its own in the 1980s , helped put the reborn Wheeler on the national map when HBO chose it as the location for its annual U.S .",22,0
choose,"During fusion , players can choose which skills are retained and which are discarded .",5,0
choose,"Growing up as a thief , Conn learns to be slippery , but he is completely honest ( so instead of lying , which he could not do , he sometimes chooses not to reveal ) , and is sometimes stubborn and impetuous , heading into trouble without much planning beforehand .",31,0
choose,"During the game , the player can choose which attributes of the playable boxer 's attributes to improve : speed , power or stamina .",7,0
choose,"In her autobiography , `` Release Me : My Life , My Words '' , Olivia revealed her disappointment that `` Bizounce '' was chosen and released as the lead single because of interference by label executives .",24,0
choose,"Republican Joanna Gregory-Scocchi of North Brunswick was chosen by a Republican special convention to fill Derman 's vacancy and was sworn into office on February 16 , 1994 .",7,0
choose,"From 1 August 2016 , tickets are valid for the 24 hours chosen by online buyers ; the date of use can be changed until the previous 24 hours of the later date .",12,0
choose,"These mysterious and eccentric juxtapositions seem to imply poetic associations although Murch himself tended to dismiss this sort of interpretation of his work , saying of the objects he chose to paint that they were simply an excuse to paint .",29,0
choose,"After having rejected the project with the Anglo-Norman style of the architect René Sergent , then the first project of a mediaeval style of the architect Guillaume Tronchet ( drawings in the Musée d'Orsay ) , Halphen chose Tronchet 's second plan , of a castle celebrating hunting on the outside and music on the inside .",37,0
murder,"Another trope of slashers ( particularly in the 1980s ) is `` death by sex '' , where sex scenes are shortly followed by violence , with the participants being murdered in gruesome ways .",30,0
murder,"In the last years of his life he was exiled to Fin Garden in Kashan and was murdered by command of Naser al-Din Shah Qajar on January 10 , 1852 .",17,0
murder,"He is portrayed as living in incestuous relations with his mother , daughter-in-law , and stepmother , and was in the habit of murdering men , whose wives he then violated and whose property he seized .",23,0
murder,"Moved by the suffering of the friends and family members of several women who had been murdered in the Salt Lake City area , but whose killings Salt Lake City police detectives had failed to solve , Anderson worked `` pro bono '' for many months , reviewing documents and locating and interviewing witnesses .",16,0
murder,Wallenstein himself was murdered few hours later by Captain Devereux in the burgomaster 's house at the main square .,3,0
murder,"In a last-minute attempt to avenge his brother , Mark tries to jump from the stage to murder Deepthi with a dagger , but is shot to death by Chandrasekhar , thus saving Deepthi 's life .",17,0
murder,"The king had organised for her to be married to Jugo Bandara , however she was in love with a king called Vidiya Bandara , who murdered Jugo and married Samudra Devi .",26,0
murder,"However , because Gaynor 's ancestor was an animator , he rose as an uncontrollable flesh-eating zombie and Burke was murdered to keep the animation a secret .",20,0
murder,"Sarah Ann Clark , the landlady and wife of Philip Clark was murdered in 1880 .",12,0
murder,"In early 1647 , his property and his intended fiancé were taken ( and according to a single report , his ten-year-old son was murdered ) by Daniel Czaplinski , apparently the deputy of the magnate Alexander Koniecpolski .",24,0
